Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Rating_Imputed,Promo Used,Subscription Used,Freq_per_Year,Est_Annual_Spend,CLV_Score,Value_Tier,Promo_Dependent,Satisfaction_Flag,Age_Group,Loyalty_Score_A,Loyal_A,Loyalty_Score_B,Loyal_B,Loyal_Both,Segment
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,1,Yes,46,Debit Card,Bi-Weekly,0,1,1,26,2340,9009.345388001537,Premium,1,Neutral,56+,0.5634253701480593,1,0.31715619807020395,0,0,Promo Reliant
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,1,Yes,50,Cash,Every 3 Months,0,1,1,4,204,802.0924290757624,Mid,1,Detractor,18-25,0.42352941176470593,0,0.05522322060448098,0,0,At-Risk Loyalists
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,1,Yes,22,Debit Card,Quarterly,0,1,1,4,248,777.6025655504291,Mid,1,Promoter,26-35,0.1949579831932773,0,0.21062066685304318,0,0,Bargain Hunters
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,1,Yes,32,Debit Card,Annually,0,1,1,1,37,129.37077977425977,Low,1,Neutral,56+,0.25306122448979596,0,0.08667143569801403,0,0,At-Risk Loyalists
24,31,Male,Pants,Clothing,88,Oklahoma,Xl,White,Winter,4.4,Yes,Express,1,Yes,40,Credit Card,Weekly,0,1,1,52,4576,16993.305777238915,Premium,1,Promoter,26-35,0.7183673469387756,1,0.6455952382016192,1,1,Promo Reliant
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,1,Yes,16,Debit Card,Weekly,0,1,1,52,1144,3241.196065600311,High,1,Detractor,18-25,0.5224489795918368,0,0.1272354393256329,0,0,Promo Reliant
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,1,Yes,14,Paypal,Annually,0,1,1,1,25,67.70125502755525,Low,1,Neutral,18-25,0.10612244897959185,0,0.1331541057444569,0,0,Bargain Hunters
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,1,Yes,13,Credit Card,Annually,0,1,1,1,20,52.78114659230517,Low,1,Neutral,36-45,0.0979591836734694,0,0.13278700825940074,0,0,Bargain Hunters
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,1,Yes,7,Bank Transfer,Every 3 Months,0,1,1,4,224,465.7949053362832,Low,1,Promoter,56+,0.07250900360144058,0,0.31094888562017814,0,0,Bargain Hunters
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,1,Yes,41,Paypal,Every 3 Months,0,1,1,4,376,1405.3637764745465,Mid,1,Promoter,46-55,0.3500600240096039,0,0.2620662356802513,0,0,At-Risk Loyalists
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,1,Yes,14,Credit Card,Weekly,0,1,1,52,2496,6759.2933019511165,Premium,1,Promoter,26-35,0.5061224489795919,0,0.3577954434470648,0,0,Promo Reliant
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,1,Yes,16,Credit Card,Monthly,0,1,1,12,372,1053.9553639889125,Mid,1,Promoter,56+,0.20872348939575833,0,0.28942010921200906,0,0,Bargain Hunters
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,1,Yes,45,Venmo,Monthly,0,1,1,12,948,3629.552043871662,High,1,Promoter,26-35,0.4454581832733094,0,0.3527906314710949,0,0,Promo Reliant
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,1,Yes,37,Venmo,Annually,0,1,1,1,67,243.71827270166784,Low,1,Promoter,36-45,0.2938775510204082,0,0.29348486545680563,0,0,At-Risk Loyalists
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,1,Yes,45,Cash,Quarterly,0,1,1,4,152,581.9534922663424,Mid,1,Neutral,46-55,0.38271308523409364,0,0.10980687591661321,0,0,At-Risk Loyalists
35,36,Male,T-Shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,1,Yes,38,Paypal,Quarterly,0,1,1,4,364,1333.5364391911912,Mid,1,Promoter,36-45,0.3255702280912365,0,0.2842989807712516,0,0,At-Risk Loyalists
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,1,Yes,48,Credit Card,Bi-Weekly,0,1,1,26,858,3339.1818157789176,High,1,Promoter,46-55,0.5797519007603041,1,0.2616463013255984,0,0,Promo Reliant
37,35,Male,T-Shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,1,Yes,44,Paypal,Fortnightly,0,1,1,26,1794,6829.1525066479535,Premium,1,Promoter,26-35,0.5470988395358143,1,0.41951427400808433,0,0,Promo Reliant
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,1,Yes,10,Paypal,Weekly,0,1,1,52,2340,5611.074938348187,Premium,1,Detractor,26-35,0.47346938775510206,0,0.17354443740356307,0,0,Promo Reliant
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.8,Yes,2-Day Shipping,1,Yes,44,Venmo,Every 3 Months,1,1,1,4,148,563.3860484860073,Mid,1,Neutral,26-35,0.3745498199279712,0,0.16935003862583456,0,0,At-Risk Loyalists
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,1,Yes,18,Credit Card,Monthly,0,1,1,12,720,2119.996064999837,High,1,Promoter,56+,0.22505002000800323,0,0.2556491987663486,0,0,Promo Reliant
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,1,Yes,31,Debit Card,Quarterly,0,1,1,4,304,1053.583714451117,Mid,1,Promoter,56+,0.2684273709483794,0,0.2774109650686377,0,0,At-Risk Loyalists
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,1,Yes,40,Venmo,Annually,0,1,1,1,39,144.82931060146802,Low,1,Promoter,56+,0.31836734693877555,0,0.2430517806408111,0,0,At-Risk Loyalists
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,1,Yes,15,Paypal,Annually,0,1,1,1,100,277.25887222397813,Low,1,Promoter,18-25,0.11428571428571428,0,0.19831010541972882,0,0,Bargain Hunters
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,1,Yes,19,Paypal,Fortnightly,0,1,1,26,1794,5374.34369875586,Premium,1,Neutral,18-25,0.3430172068827531,0,0.2757198522093123,0,0,Promo Reliant
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,1,Yes,45,Paypal,Weekly,0,1,1,52,2756,10551.735688723946,Premium,1,Promoter,36-45,0.7591836734693878,1,0.5111054933335357,1,1,Promo Reliant
46,50,Male,Socks,Clothing,21,Tennessee,Xl,Indigo,Fall,2.9,Yes,2-Day Shipping,1,Yes,25,Paypal,Annually,0,1,1,1,21,68.42002729845113,Low,1,Detractor,46-55,0.1959183673469388,0,0.04917179056853973,0,0,Bargain Hunters
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,1,Yes,45,Cash,Quarterly,0,1,1,4,172,658.5263201961244,Mid,1,Detractor,56+,0.38271308523409364,0,0.06369088987526854,0,0,At-Risk Loyalists
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,1,Yes,36,Cash,Weekly,0,1,1,52,2808,10139.457498704982,Premium,1,Promoter,46-55,0.6857142857142857,1,0.48896171406032995,1,1,Promo Reliant
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,1,Yes,38,Cash,Monthly,0,1,1,12,660,2417.9506864455666,High,1,Detractor,36-45,0.3883153261304522,0,0.08298013692060333,0,0,Promo Reliant
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,1,Yes,34,Debit Card,Bi-Weekly,0,1,1,26,780,2773.1714879617425,High,1,Promoter,56+,0.4654661864745898,0,0.3197200642101492,0,0,Promo Reliant
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.8,Yes,Store Pickup,1,Yes,39,Debit Card,Bi-Weekly,1,1,1,26,728,2685.5042425949455,High,1,Neutral,46-55,0.5062825130052021,0,0.22156308087215149,0,0,Promo Reliant
52,59,Male,Skirt,Clothing,59,Vermont,Xl,Gray,Winter,4.7,Yes,2-Day Shipping,1,Yes,7,Credit Card,Quarterly,0,1,1,4,236,490.74820383644123,Low,1,Promoter,56+,0.07250900360144058,0,0.2755628418231788,0,0,Bargain Hunters
53,42,Male,T-Shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,1,Yes,26,Credit Card,Weekly,0,1,1,52,1040,3427.670340644502,High,1,Detractor,36-45,0.6040816326530613,1,0.09582349159706725,0,0,Promo Reliant
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,1,Yes,35,Credit Card,Weekly,0,1,1,52,1248,4472.231635193225,High,1,Neutral,26-35,0.6775510204081633,1,0.27752409731853167,0,0,Promo Reliant
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,1,Yes,35,Debit Card,Bi-Weekly,0,1,1,26,2444,8758.120285586732,Premium,1,Promoter,46-55,0.47362945178071225,0,0.4189750028275765,0,0,Promo Reliant
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,1,Yes,49,Credit Card,Annually,0,1,1,1,28,109.53664415198809,Low,1,Neutral,36-45,0.3918367346938776,0,0.062183432454820615,0,0,At-Risk Loyalists
57,41,Male,Backpack,Accessories,73,Mississippi,Xl,Brown,Summer,4.7,Yes,Store Pickup,1,Yes,46,Credit Card,Weekly,0,1,1,52,3796,14615.160296091382,Premium,1,Promoter,36-45,0.7673469387755103,1,0.6230828467524794,1,1,Promo Reliant
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,1,Yes,17,Debit Card,Fortnightly,0,1,1,26,1664,4809.578605139218,Premium,1,Promoter,18-25,0.3266906762705082,0,0.34582425309795717,0,0,Promo Reliant
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,1,Yes,29,Venmo,Monthly,0,1,1,12,648,2203.9759033170767,High,1,Promoter,56+,0.31484593837535013,0,0.2577154563659816,0,0,Promo Reliant
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,1,Yes,4,Debit Card,Weekly,0,1,1,52,4108,6611.570944279284,Premium,1,Promoter,56+,0.4244897959183674,0,0.4141608514986726,0,0,Promo Reliant
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,1,Yes,17,Cash,Weekly,0,1,1,52,1924,5561.07526219222,Premium,1,Promoter,46-55,0.5306122448979592,0,0.31631423485844523,0,0,Promo Reliant
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,1,Yes,21,Credit Card,Every 3 Months,0,1,1,4,272,840.7635473134619,Mid,1,Promoter,46-55,0.18679471788715488,0,0.2841746929286251,0,0,Bargain Hunters
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,1,Yes,31,Credit Card,Fortnightly,0,1,1,26,546,1892.2918029286507,High,1,Neutral,26-35,0.4409763905562225,0,0.2020467152250483,0,0,Promo Reliant
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,1,Yes,43,Credit Card,Weekly,0,1,1,52,4108,15545.451016136216,Premium,1,Detractor,26-35,0.7428571428571429,1,0.40597191523221743,0,0,Promo Reliant
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,1,Yes,18,Debit Card,Fortnightly,0,1,1,26,2158,6354.099317041178,Premium,1,Promoter,56+,0.3348539415766306,0,0.4318259654458927,1,0,Promo Reliant
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,1,Yes,44,Venmo,Every 3 Months,0,1,1,4,144,548.159398526926,Mid,1,Promoter,56+,0.3745498199279712,0,0.28897539892867236,0,0,At-Risk Loyalists
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,1,Yes,3,Venmo,Every 3 Months,0,1,1,4,376,521.2466797810789,Low,1,Promoter,26-35,0.03985594237695078,0,0.2763132327379574,0,0,Bargain Hunters
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,1,Yes,49,Debit Card,Monthly,0,1,1,12,396,1549.1611101495457,Mid,1,Promoter,36-45,0.4781112444977992,0,0.2656042555129463,0,0,At-Risk Loyalists
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,1,Yes,21,Cash,Every 3 Months,0,1,1,4,184,568.7518114179302,Mid,1,Neutral,56+,0.18679471788715488,0,0.1814820589852217,0,0,Bargain Hunters
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,1,Yes,5,Cash,Weekly,0,1,1,52,3640,6522.00446799012,Premium,1,Promoter,46-55,0.4326530612244898,0,0.3879571390837271,0,0,Promo Reliant
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,1,Yes,32,Debit Card,Every 3 Months,0,1,1,4,116,405.5948771301117,Low,1,Promoter,18-25,0.27659063625450186,0,0.213467711468482,0,0,At-Risk Loyalists
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,1,Yes,34,Bank Transfer,Annually,0,1,1,1,48,170.65670695149186,Low,1,Detractor,36-45,0.2693877551020408,0,0.05168724333109842,0,0,At-Risk Loyalists
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,1,Yes,21,Bank Transfer,Every 3 Months,0,1,1,4,104,321.46841514926484,Low,1,Detractor,18-25,0.18679471788715488,0,0.05539784630940044,0,0,Bargain Hunters
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,1,Yes,43,Bank Transfer,Bi-Weekly,0,1,1,26,2210,8363.059090959357,Premium,1,Detractor,46-55,0.5389355742296918,0,0.2292548341290461,0,0,Promo Reliant
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,1,Yes,3,Cash,Monthly,0,1,1,12,696,964.8608753394439,Mid,1,Promoter,46-55,0.10260104041616648,0,0.263228009680191,0,0,Bargain Hunters
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,1,Yes,21,Credit Card,Annually,0,1,1,1,85,262.7386085354569,Low,1,Detractor,56+,0.163265306122449,0,0.02995284579889292,0,0,Bargain Hunters
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,1,Yes,32,Venmo,Monthly,0,1,1,12,516,1804.1979017167039,High,1,Promoter,46-55,0.33933573429371755,0,0.2478792343569275,0,0,Promo Reliant
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,1,Yes,36,Debit Card,Fortnightly,0,1,1,26,1378,4975.844883623741,Premium,1,Neutral,18-25,0.4817927170868348,0,0.21791510357308602,0,0,Promo Reliant
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,1,Yes,50,Venmo,Fortnightly,0,1,1,26,2366,9302.699447025754,Premium,1,Promoter,46-55,0.596078431372549,1,0.49237394301932147,1,1,Promo Reliant
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,1,Yes,43,Bank Transfer,Every 3 Months,0,1,1,4,384,1453.1288194246122,Mid,1,Detractor,36-45,0.36638655462184877,0,0.04724145684011511,0,0,At-Risk Loyalists
81,19,Male,Sandals,Footwear,72,New York,Xl,Blue,Summer,3.8,Yes,Store Pickup,1,Yes,24,Credit Card,Every 3 Months,1,1,1,4,288,927.0362375620417,Mid,1,Neutral,18-25,0.21128451380552224,0,0.1782973643392738,0,0,Bargain Hunters
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,1,Yes,36,Credit Card,Every 3 Months,0,1,1,4,384,1386.5924784553822,Mid,1,Detractor,56+,0.3092436974789916,0,0.04560438271691789,0,0,At-Risk Loyalists
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,1,Yes,21,Credit Card,Every 3 Months,0,1,1,4,112,346.1967547761314,Low,1,Promoter,18-25,0.18679471788715488,0,0.18800626757698258,0,0,Bargain Hunters
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,1,Yes,34,Bank Transfer,Weekly,0,1,1,52,2080,7395.12396789798,Premium,1,Promoter,36-45,0.6693877551020408,1,0.37343955484234326,0,0,Promo Reliant
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,1,Yes,42,Bank Transfer,Every 3 Months,0,1,1,4,128,481.433614808776,Low,1,Promoter,46-55,0.35822328931572633,0,0.23933366371624837,0,0,At-Risk Loyalists
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,1,Yes,2,Debit Card,Bi-Weekly,0,1,1,26,2470,2713.5723530102314,High,1,Promoter,46-55,0.20424169667867145,0,0.3062536745624351,0,0,Promo Reliant
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,1,Yes,47,Cash,Bi-Weekly,0,1,1,26,1066,4126.700277627812,High,1,Neutral,18-25,0.5715886354541817,1,0.24502257114526146,0,0,Promo Reliant
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,1,Yes,44,Debit Card,Fortnightly,0,1,1,26,1378,5245.580910903501,Premium,1,Neutral,46-55,0.5470988395358143,1,0.2725517455032145,0,0,Promo Reliant
89,33,Male,T-Shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,1,Yes,35,Credit Card,Monthly,0,1,1,12,564,2021.104681289246,High,1,Neutral,26-35,0.36382553021208486,0,0.16921605436854287,0,0,Promo Reliant
90,47,Male,Jacket,Outerwear,83,California,Xl,Pink,Fall,3.6,Yes,Next Day Air,1,Yes,15,Cash,Quarterly,0,1,1,4,332,920.4994557836073,Mid,1,Neutral,46-55,0.13781512605042018,0,0.1541365319859677,0,0,Bargain Hunters
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,1,Yes,29,Credit Card,Monthly,0,1,1,12,576,1959.0896918374015,High,1,Detractor,18-25,0.31484593837535013,0,0.09569022452874279,0,0,Promo Reliant
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,1,Yes,18,Credit Card,Every 3 Months,0,1,1,4,396,1165.9978357499103,Mid,1,Promoter,36-45,0.1623049219687875,0,0.28017682574536645,0,0,Bargain Hunters
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,1,Yes,13,Venmo,Every 3 Months,0,1,1,4,348,918.3919507061099,Mid,1,Promoter,56+,0.12148859543817528,0,0.25008467848791505,0,0,Bargain Hunters
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,1,Yes,46,Credit Card,Weekly,0,1,1,52,3224,12412.875867913228,Premium,1,Promoter,36-45,0.7673469387755103,1,0.5448973776272997,1,1,Promo Reliant
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,1,Yes,28,Credit Card,Weekly,0,1,1,52,3952,13307.553120106546,Premium,1,Promoter,56+,0.6204081632653061,1,0.5789102048558996,1,1,Promo Reliant
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,1,Yes,48,Paypal,Monthly,0,1,1,12,1200,4670.184357732752,Premium,1,Neutral,36-45,0.4699479791916767,0,0.2703945677256098,0,0,Promo Reliant
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.8,Yes,Express,1,Yes,43,Venmo,Every 3 Months,1,1,1,4,292,1104.9833731041322,Mid,1,Neutral,26-35,0.36638655462184877,0,0.1826756130774745,0,0,At-Risk Loyalists
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,1,Yes,37,Cash,Annually,0,1,1,1,92,334.6579266948275,Low,1,Promoter,18-25,0.2938775510204082,0,0.2837223638247059,0,0,At-Risk Loyalists
99,20,Male,Jeans,Clothing,67,New York,Xl,Teal,Spring,2.6,Yes,Next Day Air,1,Yes,20,Bank Transfer,Annually,0,1,1,1,67,203.98300332746933,Low,1,Detractor,18-25,0.15510204081632653,0,0.016507210534349726,0,0,Bargain Hunters
100,26,Male,Hoodie,Clothing,40,Missouri,Xl,Indigo,Summer,3.7,Yes,Express,1,Yes,33,Debit Card,Quarterly,0,1,1,4,160,564.2176839385859,Mid,1,Neutral,26-35,0.2847539015606242,0,0.15737050035937028,0,0,At-Risk Loyalists
